315,mom_c2SFWET     ,kg/m2/s            ,2D,mom_c2 wet deposition flux at surface
316,mom_c3DDF       ,kg/m2/s            ,2D,mom_c3 dry deposition flux at bottom (grav + turb)
317,mom_c3SFWET     ,kg/m2/s            ,2D,mom_c3 wet deposition flux at surface
318,mom_c4DDF       ,kg/m2/s            ,2D,mom_c4 dry deposition flux at bottom (grav + turb)
319,mom_c4SFWET     ,kg/m2/s            ,2D,mom_c4 wet deposition flux at surface
320,mpoly           ,uM C               ,2D,ocean input data: mpoly
321,mprot           ,uM C               ,2D,ocean input data: mprot
322,ncl_a1DDF       ,kg/m2/s            ,2D,ncl_a1 dry deposition flux at bottom (grav + turb)
323,ncl_a1SF        ,kg/m2/s            ,2D,ncl_a1 seasalt surface emission
324,ncl_a1SFWET     ,kg/m2/s            ,2D,Wet deposition flux at surface
325,ncl_a1_SRF      ,kg/kg              ,2D,ncl_a1 in bottom layer
326,ncl_a2DDF       ,kg/m2/s            ,2D,ncl_a2 dry deposition flux at bottom (grav + turb)
327,ncl_a2SF        ,kg/m2/s            ,2D,ncl_a2 seasalt surface emission
328,ncl_a2SFWET     ,kg/m2/s            ,2D,Wet deposition flux at surface
329,ncl_a2_SRF      ,kg/kg              ,2D,ncl_a2 in bottom layer
330,ncl_a3DDF       ,kg/m2/s            ,2D,ncl_a3 dry deposition flux at bottom (grav + turb)
331,ncl_a3SF        ,kg/m2/s            ,2D,ncl_a3 seasalt surface emission
332,ncl_a3SFWET     ,kg/m2/s            ,2D,Wet deposition flux at surface
333,ncl_a3_SRF      ,kg/kg              ,2D,ncl_a3 in bottom layer
334,ncl_c1DDF       ,kg/m2/s            ,2D,ncl_c1 dry deposition flux at bottom (grav + turb)
335,ncl_c1SFWET     ,kg/m2/s            ,2D,ncl_c1 wet deposition flux at surface
336,ncl_c2DDF       ,kg/m2/s            ,2D,ncl_c2 dry deposition flux at bottom (grav + turb)
337,ncl_c2SFWET     ,kg/m2/s            ,2D,ncl_c2 wet deposition flux at surface
338,ncl_c3DDF       ,kg/m2/s            ,2D,ncl_c3 dry deposition flux at bottom (grav + turb)
339,ncl_c3SFWET     ,kg/m2/s            ,2D,ncl_c3 wet deposition flux at surface
340,num_a1DDF       , 1/m2/s            ,2D,num_a1 dry deposition flux at bottom (grav + turb)
341,num_a1SF        ,kg/m2/s            ,2D,num_a1 dust surface emission
342,num_a1SFWET     , 1/m2/s            ,2D,Wet deposition flux at surface
343,num_a1_CLXF     ,molec/cm2/s        ,2D,vertically intergrated external forcing for num_a1
344,num_a1_SRF      , 1/kg              ,2D,num_a1 in bottom layer
345,num_a1_sfgaex1  ,kg/m2/s            ,2D,num_a1 gas-aerosol-exchange primary column tendency
346,num_a2DDF       , 1/m2/s            ,2D,num_a2 dry deposition flux at bottom (grav + turb)
347,num_a2SFWET     , 1/m2/s            ,2D,Wet deposition flux at surface
348,num_a2_CLXF     ,molec/cm2/s        ,2D,vertically intergrated external forcing for num_a2
349,num_a2_SRF      , 1/kg              ,2D,num_a2 in bottom layer
350,num_a3DDF       , 1/m2/s            ,2D,num_a3 dry deposition flux at bottom (grav + turb)
351,num_a3SF        ,kg/m2/s            ,2D,num_a3 dust surface emission
352,num_a3SFWET     , 1/m2/s            ,2D,Wet deposition flux at surface
353,num_a3_SRF      , 1/kg              ,2D,num_a3 in bottom layer
354,num_a4DDF       , 1/m2/s            ,2D,num_a4 dry deposition flux at bottom (grav + turb)
355,num_a4SFWET     , 1/m2/s            ,2D,Wet deposition flux at surface
356,num_a4_CLXF     ,molec/cm2/s        ,2D,vertically intergrated external forcing for num_a4
357,num_a4_SRF      , 1/kg              ,2D,num_a4 in bottom layer
358,num_a4_sfgaex1  ,kg/m2/s            ,2D,num_a4 gas-aerosol-exchange primary column tendency
359,num_c1DDF       , 1/m2/s            ,2D,num_c1 dry deposition flux at bottom (grav + turb)
